full_name,html_url,description,first_seen_at,last_seen_at,merged_tags_json,language,stars,forks,open_issues,updated_at,license_spdx,topics_json
Emmi-AI/noether,https://github.com/Emmi-AI/noether,"Deep-learning framework for Engineering AI. Built on transformer building blocks, it delivers the full engineering stack, allowing teams to build,  train, and operate industrial simulation models across engineering verticals.",2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",Python,117,6,6,2026-02-18T15:49:59Z,NOASSERTION,"[""cfd"", ""deep-learning"", ""engineering"", ""machine-learning"", ""physics"", ""python"", ""pytorch"", ""simulation"", ""transformers""]"
chaos-polymtl/lethe,https://github.com/chaos-polymtl/lethe,Repository for the open-source lethe CFD/DEM/CFD-DEM project,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",C++,376,71,21,2026-02-18T15:32:57Z,Apache-2.0,"[""cfd"", ""cfd-dem"", ""computational-fluid-dynamics"", ""dem"", ""discrete-element-method"", ""simulation""]"
fluiddyn/fluidsim,https://github.com/fluiddyn/fluidsim,:ocean: Framework for studying fluid dynamics with numerical simulations using Python (publish-only mirror). The main repo is hosted on https://foss.heptapod.net (Gitlab fork supporting Mercurial).,2026-02-18T15:51:34Z,2026-02-19T05:03:37Z,"{""domain"": [""cfd"", ""fluid"", ""navier-stokes""], ""intent"": [""simulation""], ""hpc"": [""mpi""]}",Python,71,11,0,2026-02-18T13:31:51Z,NOASSERTION,"[""cfd"", ""fluid-dynamics"", ""high-performance-computing"", ""mpi"", ""navier-stokes"", ""pseudo-spectral"", ""turbulence""]"
ProjectPhysX/FluidX3D,https://github.com/ProjectPhysX/FluidX3D,"The fastest and most memory efficient lattice Boltzmann CFD software, running on all GPUs and CPUs via OpenCL. Free for non-commercial use.",2026-02-18T15:51:34Z,2026-02-19T05:03:37Z,"{""domain"": [""cfd"", ""fluid"", ""raytracing""], ""intent"": [""benchmark"", ""simulation""], ""method"": [""lattice-boltzmann"", ""lbm""]}",C++,4895,450,48,2026-02-18T12:18:10Z,NOASSERTION,"[""benchmark"", ""cfd"", ""computational-fluid-dynamics"", ""fluid-dynamics"", ""fluid-simulation"", ""fluid-solver"", ""gpgpu"", ""gpu"", ""gpu-computing"", ""high-performance-computing"", ""hpc"", ""interactive-visualization"", ""lattice-boltzmann"", ""lbm"", ""opencl"", ""physics"", ""raytracing"", ""scientific-computing"", ""scientific-visualization"", ""simulation""]"
su2code/SU2,https://github.com/su2code/SU2,SU2: An Open-Source Suite for Multiphysics Simulation and Design,2026-02-18T15:51:34Z,2026-02-19T05:03:37Z,"{""domain"": [""cfd"", ""fluid""], ""intent"": [""multiphysics"", ""simulation""]}",C++,1628,926,95,2026-02-19T03:04:09Z,NOASSERTION,"[""c-plus-plus"", ""cfd"", ""flow"", ""fluid"", ""fluid-dynamics"", ""hpc"", ""opensource"", ""optimization"", ""physics"", ""python"", ""simulation""]"
csml-rpi/Foam-Agent,https://github.com/csml-rpi/Foam-Agent,"Foam-Agent: An end-to-end, composable multi-agent framework for automating CFD simulations in OpenFOAM. NeurIPS 2025 Machine Learning and the Physical Sciences Workshop.",2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",Python,85,20,0,2026-02-17T16:56:35Z,MIT,"[""cfd"", ""computational-fluid-dynamics"", ""multi-agent-systems"", ""openfoam"", ""physics"", ""simulation""]"
MFlowCode/MFC,https://github.com/MFlowCode/MFC,Exascale multiphase flow solver — 2025 Gordon Bell Prize Finalist | 200T grid points on 43K+ GPUs,2026-02-18T15:51:34Z,2026-02-19T05:09:47Z,"{""domain"": [""cfd"", ""multiphase""], ""intent"": [""simulation"", ""solver""], ""hpc"": [""cuda"", ""openmp""]}",Fortran,315,132,49,2026-02-18T22:14:38Z,MIT,"[""amd-gpu"", ""cfd"", ""computational-fluid-dynamics"", ""cuda"", ""exascale"", ""fluid-dynamics"", ""fortran"", ""gpu"", ""gpu-computing"", ""hpc"", ""mpi"", ""multiphase"", ""nvidia-gpu"", ""openacc"", ""openmp"", ""parallel-computing"", ""physics-simulation"", ""rocm"", ""scientific-computing"", ""simulation""]"
ucns3d-team/UCNS3D,https://github.com/ucns3d-team/UCNS3D,Unstructured Compressible Navier Stokes 3D code (UCNS3D) ,2026-02-18T15:51:34Z,2026-02-19T05:16:09Z,"{""domain"": [""cfd"", ""navier-stokes""], ""intent"": [""simulation""], ""method"": [""unstructured-meshes""]}",Fortran,339,104,46,2026-02-17T00:30:53Z,GPL-3.0,"[""cfd"", ""compressible-flows"", ""compressible-fluid-dynamics"", ""computational-fluid-dynamics"", ""simulation"", ""unstructured-meshes""]"
loganoz/horses3d-gpu,https://github.com/loganoz/horses3d-gpu,HORSES3D: A high-order discontinuous Galerkin solver for flow simulations and multi-physics applications,2026-02-18T15:51:34Z,2026-02-18T16:34:54Z,"{""domain"": [""cfd"", ""navier-stokes""], ""intent"": [""multiphysics"", ""simulation"", ""solver""], ""method"": [""discontinuous-galerkin""]}",Fortran,2,1,12,2026-02-16T08:26:36Z,MIT,"[""cfd"", ""gpu"", ""multiphysics"", ""navier-stokes""]"
loganoz/horses3d,https://github.com/loganoz/horses3d,HORSES3D: A high-order discontinuous Galerkin solver for flow simulations and multi-physics applications,2026-02-18T15:51:34Z,2026-02-18T16:34:54Z,"{""domain"": [""cfd"", ""navier-stokes""], ""intent"": [""multiphysics"", ""simulation"", ""solver""], ""method"": [""discontinuous-galerkin""]}",Fortran,149,29,28,2026-02-15T09:34:36Z,MIT,"[""cfd"", ""multiphysics"", ""navier-stokes""]"
